feature A,feature B,feature C,feature D,label
0.47368,3.3605,-4.5064,-4.0431,1
-3.9934,5.8333,0.54723,-4.9379,1
-1.4572,9.1214,1.7425,-5.1241,0
-2.7338,0.45523,2.4391,0.21766,1
4.6562,7.6398,-2.4243,-1.2384,0
-5.4808,8.1819,0.27818,-5.0323,1
-0.28015,3.0729,-3.3857,-2.9155,1
1.1676,9.1566,-2.0867,-0.80647,0
-0.30432,2.6528,-2.7756,-0.65647,1
1.8994,0.97462,4.2265,0.81377,0
-0.55355,-7.9233,6.7156,0.74394,1
2.5503,-4.9518,6.3729,-0.41596,0
-1.1391,1.8127,6.9144,0.70127,0
-0.91718,9.9884,1.1804,-5.2263,0
0.83625,1.1071,-2.4706,-0.062945,1
4.3634,0.46351,1.4281,2.0202,0
-0.86339,1.9348,-2.3729,-1.0897,1
2.5698,-4.4076,5.9856,0.078002,0
3.482,-4.1634,3.5008,-0.078462,0
-0.12624,10.3216,-3.7121,-6.1185,0
3.7798,-3.3109,2.6491,0.066365,0
3.7022,6.9942,-1.8511,-0.12889,0
-1.3,10.2678,-2.953,-5.8638,0
1.2746,8.8172,-1.5323,-1.7957,0
-0.77995,3.2322,-3.282,-3.1004,1
-2.0962,-7.1059,6.6188,-0.33708,1
0.5195,-3.2633,3.0895,-0.9849,0
-2.8829,3.8964,-0.1888,-1.1672,1
-0.7869,9.5663,-3.7867,-7.5034,0
-1.7322,-9.2828,7.719,-1.7168,1
3.4669,6.87,-1.0568,-0.73147,0
-0.94255,0.039307,-0.24192,0.31593,1
-3.2238,2.7935,0.32274,-0.86078,1
-1.4377,-1.432,2.1144,0.42067,1
-2.4621,2.7645,-0.62578,-2.8573,1
2.1943,4.5503,-4.976,-2.7254,1
5.2012,0.32694,0.17965,1.1797,0
-0.7351,1.7361,-1.4938,-1.1582,1
4.1529,-3.9358,2.8633,-0.017686,0
-2.3361,11.9604,3.0835,-5.4435,0
4.0713,10.4023,-4.1722,-4.7582,0
-1.2244,1.7485,-1.4801,-1.4181,1
4.223,1.1319,0.72202,0.96118,0
-1.9389,1.5706,0.045979,-1.122,1
0.040498,8.5234,1.4461,-3.9306,0
